build,tier,query,ops,rep,ms
stock,A,add,0,5,248.857
stock,A,add,1,5,592.014
stock,A,add,2,5,865.269
stock,A,add,4,5,1407.276
stock,A,add,8,5,2406.789
stock,A,sub,0,5,249.125
stock,A,sub,1,5,613.184
stock,A,sub,2,5,842.649
stock,A,sub,4,5,1348.658
stock,A,sub,8,5,2209.719
stock,A,mul,0,5,248.496
stock,A,mul,1,5,622.193
stock,A,mul,2,5,871.461
stock,A,mul,4,5,1390.703
stock,A,div,0,5,248.579
stock,A,div,1,5,786.648
stock,A,div,2,5,1209.958
stock,A,div,4,5,2107.829
stock,A,cmp,0,5,249.01
stock,A,cmp,1,5,464.055
stock,A,cmp,2,5,554.224
stock,A,cmp,4,5,724.649
stock,B,scan_count,1,5,248.407
stock,B,sum,1,5,398.889
stock,B,avg,1,5,398.363
stock,B,sum_8add,1,5,2490.313
stock,B,sum_expr_mixed,1,5,1257.24
stock,B,sum_mul,1,5,687.647
stock,B,sum_div,1,5,875.089
stock,B,stddev,1,5,481.854
stock,B,order_by_limit,1,5,0.128
stock,B,where_gt,1,5,464.36
stock,B,text_out,1,5,480.104
stock,B,hash_agg,1,5,873.695
stock,B,hash_join,1,5,965.061
stock,B,index_scan,1,5,83.809
stock,B,cast_int,1,5,510.688
stock,B,cast_float8,1,5,850.437
dec128,A,add,0,5,261.951
dec128,A,add,1,5,375.476
dec128,A,add,2,5,428.063
dec128,A,add,4,5,516.323
dec128,A,add,8,5,711.97
dec128,A,sub,0,5,261.442
dec128,A,sub,1,5,385.849
dec128,A,sub,2,5,437.563
dec128,A,sub,4,5,528.747
dec128,A,sub,8,5,719.501
dec128,A,mul,0,5,260.047
dec128,A,mul,1,5,382.502
dec128,A,mul,2,5,438.596
dec128,A,mul,4,5,525.52
dec128,A,div,0,5,260.629
dec128,A,div,1,5,1077.748
dec128,A,div,2,5,1760.78
dec128,A,div,4,5,3206.579
dec128,A,cmp,0,5,261.115
dec128,A,cmp,1,5,331.676
dec128,A,cmp,2,5,365.358
