build,tier,query,ops,rep,ms
stock,B,ref_bigint_sum,1,3,333.973
stock,B,ref_bigint_8add,1,3,482.048
stock,B,ref_bigint_mul,1,3,353.073
stock,B,ref_float8_sum,1,3,915.776
stock,B,num_mul2,1,3,645.694
dec128,A,add,0,3,293.741
dec128,A,add,1,3,403.571
dec128,A,add,2,3,451.95
dec128,A,add,4,3,547.698
dec128,A,add,8,3,745.0
dec128,A,sub,0,3,291.904
dec128,A,sub,1,3,416.138
dec128,A,sub,2,3,466.459
dec128,A,sub,4,3,560.604
dec128,A,sub,8,3,753.722
dec128,A,mul,0,3,290.673
dec128,A,mul,1,3,414.156
dec128,A,mul,2,3,461.669
dec128,A,mul,4,3,561.285
dec128,A,div,0,3,291.442
dec128,A,div,1,3,561.074
dec128,A,div,2,3,771.383
dec128,A,div,4,3,1227.947
dec128,A,cmp,0,3,291.584
dec128,A,cmp,1,3,370.472
dec128,A,cmp,2,3,404.443
dec128,A,cmp,4,3,485.561
dec128,B,scan_count,1,3,294.526
dec128,B,sum,1,3,321.684
dec128,B,avg,1,3,320.401
dec128,B,sum_8add,1,3,776.003
dec128,B,sum_expr_mixed,1,3,545.747
dec128,B,sum_mul,1,3,447.048
dec128,B,sum_div,1,3,597.654
dec128,B,stddev,1,3,552.096
dec128,B,order_by_limit,1,3,0.111
dec128,B,where_gt,1,3,370.726
dec128,B,text_out,1,3,564.376
dec128,B,hash_agg,1,3,655.128
dec128,B,hash_join,1,3,1034.418
dec128,B,index_scan,1,3,100.655
dec128,B,cast_int,1,3,594.13
dec128,B,cast_float8,1,3,937.177
dec128,B,sum_d,1,3,330.09
dec128,B,sum_mul_d,1,3,475.348
dec128,B,ref_money_sum,1,3,320.297
dec128,B,ref_money_8add,1,3,449.843
dec128,B,ref_money_mul2,1,3,332.41
dec128,B,ref_bigint_sum,1,3,335.877
dec128,B,ref_bigint_8add,1,3,461.792
dec128,B,ref_bigint_mul,1,3,352.1
dec128,B,ref_float8_sum,1,3,940.939
dec128,B,num_mul2,1,3,436.675
stock,A,add,0,4,277.367
stock,A,add,1,4,652.371
stock,A,add,2,4,882.191
stock,A,add,4,4,1424.981
stock,A,add,8,4,2424.501
stock,A,sub,0,4,275.404
stock,A,sub,1,4,646.588
stock,A,sub,2,4,895.989
stock,A,sub,4,4,1446.266
stock,A,sub,8,4,2394.987
stock,A,mul,0,4,280.535
stock,A,mul,1,4,652.66
stock,A,mul,2,4,913.921
stock,A,mul,4,4,1447.789
stock,A,div,0,4,275.21
stock,A,div,1,4,813.615
stock,A,div,2,4,1246.452
stock,A,div,4,4,2163.047
stock,A,cmp,0,4,275.624
stock,A,cmp,1,4,460.287
stock,A,cmp,2,4,552.982
stock,A,cmp,4,4,730.552
stock,B,scan_count,1,4,279.074
stock,B,sum,1,4,419.261
stock,B,avg,1,4,420.882
stock,B,sum_8add,1,4,2501.787
stock,B,sum_expr_mixed,1,4,1284.95
stock,B,sum_mul,1,4,721.189
stock,B,sum_div,1,4,899.812
stock,B,stddev,1,4,504.37
stock,B,order_by_limit,1,4,0.135
stock,B,where_gt,1,4,460.065
stock,B,text_out,1,4,512.39
stock,B,hash_agg,1,4,918.36
stock,B,hash_join,1,4,1018.122
